,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nikolskoye,75,RU,1595758252,55,59.7,30.79,66.99,11.18
1,North Bend,1,US,1595758254,100,43.41,-124.22,54.0,4.7
2,Bilibino,7,RU,1595758255,48,68.05,166.44,72.97,7.67
3,Atuona,4,PF,1595758256,73,-9.8,-139.03,79.75,21.18
4,Punta Arenas,100,CL,1595758257,86,-53.15,-70.92,32.0,25.28
5,Mataura,20,NZ,1595758259,93,-46.19,168.86,39.52,2.33
6,Bitkine,90,TD,1595758260,57,11.98,18.21,86.54,9.4
7,Tuktoyaktuk,100,CA,1595758262,94,69.45,-133.04,43.88,3.74
8,San Juan,0,AR,1595758263,47,-31.54,-68.54,46.04,3.18
9,Qaanaaq,18,GL,1595758264,60,77.48,-69.36,44.17,2.08
10,Chokurdakh,72,RU,1595758233,36,70.63,147.92,81.59,2.8
11,Riviere-au-Renard,75,CA,1595758266,93,49.0,-64.4,62.6,3.36
12,Katsuura,75,JP,1595758059,94,35.13,140.3,81.0,6.93
13,Camacha,40,PT,1595758269,73,33.08,-16.33,69.8,13.87
14,Richards Bay,0,ZA,1595758270,22,-28.78,32.04,74.64,3.69
15,Puerto Ayora,96,EC,1595758271,92,-0.74,-90.35,66.99,1.01
16,Nuevo Progreso,100,MX,1595758273,89,23.17,-97.95,82.0,5.99
17,Shingū,75,JP,1595758220,94,33.73,135.98,73.4,4.7
18,New Norfolk,57,AU,1595758275,81,-42.78,147.06,46.99,1.97
19,Bayir,20,TR,1595758276,36,37.27,28.22,91.4,11.41
20,Hilo,90,US,1595758278,74,19.73,-155.09,78.8,11.41
21,Flinders,100,AU,1595758279,94,-34.58,150.86,60.01,8.99
22,Albany,96,US,1595758280,73,42.6,-73.97,66.99,3.6
23,Ust-Nera,81,RU,1595758148,46,64.57,143.2,70.81,10.36
24,Los Llanos de Aridane,20,ES,1595758283,69,28.66,-17.92,75.2,16.11
25,Port Alfred,26,ZA,1595758284,55,-33.59,26.89,67.39,30.4
26,Souillac,75,MU,1595758285,83,-20.52,57.52,69.8,18.34
27,Bluff,63,NZ,1595758286,81,-46.6,168.33,49.42,10.98
28,Avarua,100,CK,1595758185,78,-21.21,-159.78,71.6,5.82
29,Kortkeros,20,RU,1595758289,38,61.81,51.58,77.0,6.71
30,Vaini,20,TO,1595758290,83,-21.2,-175.2,69.8,6.93
31,Cayenne,81,GF,1595758291,100,4.93,-52.33,73.4,4.85
32,Cape Town,40,ZA,1595758293,67,-33.93,18.42,60.8,16.11
33,Stornoway,88,GB,1595758294,77,58.21,-6.39,59.0,19.46
34,Lompoc,90,US,1595758295,87,34.64,-120.46,57.2,3.36
35,Hobart,75,AU,1595758250,76,-42.88,147.33,48.2,4.7
36,Ushuaia,75,AR,1595758298,86,-54.8,-68.3,30.2,3.36
37,Ulaangom,21,MN,1595758299,29,49.98,92.07,79.92,9.06
38,Cap Malheureux,91,MU,1595758300,85,-19.98,57.61,66.99,8.99
39,Maïné Soroa,21,NE,1595758302,45,13.21,12.02,92.68,16.78
40,Kavaratti,99,IN,1595758303,78,10.57,72.64,82.0,13.33
41,Butaritari,0,KI,1595758304,75,3.07,172.79,83.08,18.48
42,Laguna,1,US,1595758305,68,38.42,-121.42,64.4,8.05
43,Suntar,65,RU,1595758307,76,62.14,117.63,65.62,3.31
44,Tuatapere,7,NZ,1595758245,86,-46.13,167.68,41.86,4.21
45,Qaqortoq,100,GL,1595758309,93,60.72,-46.03,46.4,3.36
46,Upernavik,100,GL,1595758310,91,72.79,-56.15,44.49,17.05
47,Barrow,90,US,1595758311,87,71.29,-156.79,44.6,8.05
48,Kaitangata,1,NZ,1595758313,73,-46.28,169.85,46.0,4.0
49,Ilulissat,100,GL,1595758314,93,69.22,-51.1,44.6,13.87
50,Berezyne,97,UA,1595758315,25,46.23,29.2,88.07,8.7
51,Provideniya,44,RU,1595758317,69,64.38,-173.3,56.52,5.57
52,Mackay,40,AU,1595758318,82,-21.15,149.2,66.2,6.93
53,Port Elizabeth,20,ZA,1595758320,59,-33.92,25.57,66.2,31.09
54,Mindelo,40,CV,1595758321,83,16.89,-24.98,78.8,14.99
55,Kumul,0,CN,1595758237,9,42.8,93.45,99.59,17.83
56,Rikitea,13,PF,1595758323,80,-23.12,-134.97,70.95,21.45
57,Lagoa,1,PT,1595758325,90,39.05,-27.98,72.27,16.87
58,Agadez,67,NE,1595758326,11,19.75,10.25,98.19,12.06
59,Coquimbo,79,CL,1595758327,70,-29.95,-71.34,46.4,4.7
60,Tura,51,IN,1595758329,78,25.52,90.22,85.6,4.34
61,Eyl,80,SO,1595758331,38,7.98,49.82,90.73,22.7
62,Kieta,100,PG,1595758332,81,-6.22,155.63,79.5,8.46
63,Soubre,63,CI,1595758333,63,5.79,-6.61,78.91,4.81
64,Pisco,90,PE,1595758334,87,-13.7,-76.22,60.8,3.36
65,Hualmay,71,PE,1595758335,85,-11.1,-77.61,58.37,5.97
66,Mahébourg,75,MU,1595758337,83,-20.41,57.7,69.8,18.34
67,Faya,40,SA,1595758338,25,18.39,42.45,84.2,13.87
68,Adrar,0,MR,1595758339,29,20.5,-10.07,91.08,13.47
69,Ribeira Grande,75,PT,1595758340,94,38.52,-28.7,71.6,12.75
70,Abong Mbang,100,CM,1595758342,91,3.98,13.18,71.85,4.41
71,Kapaa,90,US,1595758343,78,22.08,-159.32,80.6,18.34
72,Vanimo,100,PG,1595758344,87,-2.67,141.3,78.82,8.21
73,Arraial do Cabo,40,BR,1595758345,94,-22.97,-42.03,69.8,8.05
74,Carnarvon,0,AU,1595758347,56,-24.87,113.63,71.6,10.29
75,Busselton,0,AU,1595758348,66,-33.65,115.33,62.01,6.17
76,Pangoa,38,PE,1595758351,88,-12.12,-73.0,62.08,1.99
77,Vestmannaeyjar,75,IS,1595758352,87,63.44,-20.27,50.0,8.05
78,Isangel,64,VU,1595758353,83,-19.55,169.27,73.4,3.36
79,San Patricio,100,MX,1595758355,88,19.22,-104.7,76.71,3.0
80,Drăgoteşti,60,RO,1595758356,52,44.8,23.17,76.5,3.56
81,Hermanus,91,ZA,1595758357,74,-34.42,19.23,59.0,5.99
82,Calbuco,75,CL,1595758359,93,-41.77,-73.13,44.6,4.7
83,Cidreira,81,BR,1595758360,77,-30.18,-50.21,47.14,7.67
84,Charters Towers,0,AU,1595758361,45,-20.1,146.27,66.51,8.48
85,Anchorage,90,US,1595758362,76,61.22,-149.9,55.99,2.37
86,Saint George,1,US,1595758364,19,37.1,-113.58,77.0,3.36
87,La Rioja,89,AR,1595758365,49,-29.41,-66.85,46.67,3.13
88,San Pedro de Macorís,40,DO,1595758366,100,18.46,-69.3,75.2,4.7
89,Swan Hill,24,AU,1595758367,73,-35.34,143.55,48.69,7.23
90,Quatre Cocos,75,MU,1595758369,83,-20.21,57.76,69.8,18.34
91,Caucayá,60,CO,1595758370,98,-0.19,-74.78,67.89,1.36
92,Bengkulu,42,ID,1595758372,77,-3.8,102.27,82.54,11.95
93,Geraldton,0,AU,1595758373,77,-28.77,114.6,66.2,5.82
94,Khatanga,100,RU,1595758353,78,71.97,102.5,42.39,9.86
95,Hithadhoo,99,MV,1595758375,67,-0.6,73.08,83.61,9.71
96,Angoche,15,MZ,1595758376,54,-16.23,39.91,77.18,9.26
97,Plettenberg Bay,91,ZA,1595758378,74,-34.05,23.37,59.76,14.72
98,East London,20,ZA,1595758379,40,-33.02,27.91,73.4,21.92
99,George Town,40,MY,1595758211,66,5.41,100.34,87.8,8.05
100,Bambous Virieux,75,MU,1595758381,68,-20.34,57.76,71.6,19.46
101,Hay River,20,CA,1595758381,93,60.82,-115.8,53.6,4.38
102,Kulhudhuffushi,76,MV,1595758384,70,6.62,73.07,82.98,8.3
103,Vuktyl,39,RU,1595758385,39,63.86,57.31,77.25,2.93
104,Thompson,90,CA,1595758386,93,55.74,-97.86,62.6,4.7
105,Urucará,0,BR,1595758388,83,-2.54,-57.76,71.26,0.25
106,Paramirim,0,BR,1595758389,84,-13.44,-42.24,60.66,4.27
107,Laval,75,CA,1595758390,57,45.57,-73.69,75.2,18.34
108,Ben Gardane,0,TN,1595758392,33,33.14,11.22,91.44,7.56
109,Ibotirama,0,BR,1595758393,74,-12.19,-43.22,63.48,2.28
110,Izhma,19,RU,1595758394,32,65.01,53.91,81.88,4.56
111,Pochutla,100,MX,1595758395,80,15.74,-96.47,71.76,4.63
112,Kandi,27,BJ,1595758397,68,11.13,2.94,82.98,7.7
113,Rosetown,0,CA,1595758378,88,51.55,-108.0,51.01,4.0
114,Zelenoborskiy,53,RU,1595758399,80,66.84,32.36,59.2,8.14
115,Brigantine,1,US,1595758400,94,39.41,-74.36,75.99,3.36
116,Weligama,100,LK,1595758402,72,5.97,80.42,82.81,12.77
117,Vao,54,NC,1595758403,82,-22.67,167.48,70.54,20.62
118,Alekseyevsk,100,RU,1595758404,34,57.84,108.35,76.87,3.18
119,Clyde River,90,CA,1595758405,100,70.47,-68.59,39.2,8.05
120,Lüderitz,0,NA,1595758407,49,-26.65,15.16,68.0,10.29
121,Guerrero Negro,0,MX,1595758409,89,27.98,-114.06,65.7,10.0
122,Vila Velha,90,BR,1595758410,88,-20.33,-40.29,66.2,3.36
123,Jamestown,1,US,1595758412,100,42.1,-79.24,62.6,5.82
124,Kavieng,100,PG,1595758413,78,-2.57,150.8,83.25,12.64
125,Korla,54,CN,1595758414,15,41.76,86.15,96.58,1.63
126,Svay Rieng,87,KH,1595758416,68,11.09,105.8,87.28,8.68
127,Saint-Philippe,77,RE,1595758417,64,-21.36,55.77,73.4,31.09
128,Bathsheba,20,BB,1595758418,74,13.22,-59.52,82.4,12.75
129,Nome,90,US,1595758375,76,64.5,-165.41,51.8,5.91
130,Severnoye,95,RU,1595758356,64,56.35,78.36,68.23,6.96
131,Turaif,0,SA,1595758422,16,31.67,38.66,107.6,11.41
132,Manicoré,12,BR,1595758424,71,-5.81,-61.3,72.5,1.92
133,Pestravka,0,RU,1595758425,37,52.41,49.96,76.62,10.71
134,Davidson,1,US,1595758426,83,36.15,-86.78,75.2,4.7
135,Matagami,90,CA,1595758427,100,49.75,-77.63,66.2,5.82
136,Sovetskiy,95,RU,1595758429,46,61.36,63.58,70.97,5.08
137,Yellowknife,40,CA,1595758386,71,62.46,-114.35,55.99,6.93
138,Hervey Bay,53,AU,1595758431,85,-25.3,152.85,62.01,21.99
139,Kalmunai,100,LK,1595758433,71,7.42,81.82,83.8,8.88
140,Olafsvik,99,IS,1595758434,78,64.89,-23.71,48.13,22.15
141,Arrondissement de Saint-Dizier,40,FR,1595758435,64,48.42,5.08,72.0,14.99
142,Antofagasta,0,CL,1595758436,87,-23.65,-70.4,51.8,8.05
143,Agbor,99,NG,1595758437,80,6.25,6.19,78.67,5.99
144,Thinadhoo,95,MV,1595758439,67,0.53,72.93,82.92,6.35
145,Saravan,0,AM,1595758440,19,39.72,45.65,96.8,6.93
146,Cabo San Lucas,12,MX,1595758441,69,22.89,-109.91,79.0,1.01
147,Kabompo,17,ZM,1595758443,29,-13.59,24.2,75.43,6.71
148,Bandarbeyla,100,SO,1595758444,40,9.49,50.81,91.26,22.55
149,Fairbanks,20,US,1595758445,100,64.84,-147.72,53.6,1.9
150,Havøysund,0,NO,1595758341,46,71.0,24.66,69.8,36.91
151,Shenjiamen,100,CN,1595758448,92,29.96,122.3,76.3,9.93
152,Hong Kong,20,HK,1595758207,63,22.29,114.16,91.4,17.22
153,Kirensk,100,RU,1595758450,34,57.79,108.11,76.87,3.18
154,Hirara,75,JP,1595758365,79,24.8,125.28,86.0,13.87
155,Tiksi,100,RU,1595758452,95,71.69,128.87,38.68,14.61
156,Najrān,40,SA,1595758454,27,17.49,44.13,98.6,6.93
157,Zachary,75,US,1595758455,88,30.65,-91.16,77.0,4.7
158,Talnakh,66,RU,1595758456,58,69.49,88.4,53.6,24.61
159,Jalu,0,LY,1595758457,19,29.03,21.55,95.38,8.32
160,La Santisima Trinidad,100,BO,1595758459,42,-14.83,-64.9,57.99,3.56
161,Ponta Delgada,75,PT,1595758460,78,37.73,-25.67,71.6,3.36
162,Trelleborg,100,SE,1595758462,73,55.38,13.16,69.8,12.75
163,Río Gallegos,18,AR,1595758386,79,-51.62,-69.22,24.8,14.99
164,Dicabisagan,49,PH,1595758465,76,17.08,122.42,84.25,5.75
165,Kupang,20,ID,1595758246,61,-10.17,123.58,78.8,9.17
166,Berdigestyakh,58,RU,1595758467,53,62.1,126.7,70.75,4.21
167,Port Macquarie,97,AU,1595758469,98,-31.43,152.92,55.0,9.75
168,Staryy Nadym,77,RU,1595758470,52,65.61,72.68,65.03,17.0
169,Salalah,90,OM,1595758362,94,17.02,54.09,80.6,8.05
170,Torbay,75,CA,1595758472,100,47.67,-52.73,59.0,9.17
171,Lavrentiya,27,RU,1595758354,85,65.58,-171.0,49.46,1.77
172,Asău,100,RO,1595758475,68,46.43,26.4,73.99,3.56
173,Takaka,0,NZ,1595758387,80,-40.85,172.8,46.99,1.01
174,Mocuba,13,MZ,1595758477,44,-16.84,36.99,76.96,5.35
175,Cockburn Town,7,TC,1595758478,83,21.46,-71.14,82.18,18.54
176,Salinópolis,14,BR,1595758386,84,-0.61,-47.36,78.51,6.08
177,Mar del Plata,100,AR,1595758438,75,-38.0,-57.56,48.99,9.17
178,Hlukhiv,86,UA,1595758482,60,51.68,33.92,75.13,7.52
179,Rosetta,40,EG,1595758483,62,31.4,30.42,86.0,12.75
180,Kilindoni,46,TZ,1595758485,71,-7.91,39.67,77.36,19.08
181,Hamilton,1,US,1595758205,100,39.18,-84.53,70.0,1.66
182,Teluk Nibung,44,ID,1595758487,71,3.0,99.82,85.84,8.61
183,Zabaykal'sk,56,RU,1595758488,50,49.63,117.32,84.94,7.94
184,Luganville,90,VU,1595758489,83,-15.53,167.17,77.0,8.05
185,Cape Canaveral,75,US,1595758491,88,28.41,-80.6,82.0,3.36
186,Yangi Marg`ilon,0,UZ,1595758492,20,40.43,71.72,96.8,6.93
187,Orlik,76,RU,1595758493,39,52.52,99.83,69.82,11.72
188,Dingle,86,PH,1595758494,85,11.0,122.67,81.86,0.85
189,Buraidah,0,SA,1595758357,27,26.33,43.98,109.4,6.93
190,Colares,20,PT,1595758497,73,38.8,-9.45,75.0,25.28
191,Gamboma,39,CG,1595758498,37,-1.88,15.86,90.43,5.95
192,Atar,0,MR,1595758499,23,20.52,-13.05,86.0,6.93
193,Ust'-Barguzin,100,RU,1595758357,84,53.45,108.98,60.71,5.86
194,Bilma,45,NE,1595758502,17,18.69,12.92,100.92,7.52
195,Saint-Augustin,95,CA,1595758504,93,51.23,-58.65,59.05,7.25
196,Kaeo,20,NZ,1595758505,3,-35.1,173.78,50.0,1.01
197,Arrondissement du Havre,75,FR,1595758506,72,49.58,0.33,64.4,13.87
198,Mahuva,51,IN,1595758367,67,21.09,71.76,88.05,11.79
199,Dikson,93,RU,1595758353,88,73.51,80.55,39.85,16.49
200,Tulagi,75,SB,1595758510,88,-9.1,160.15,77.0,4.7
201,Belyy Yar,44,RU,1595758512,42,53.6,91.39,82.4,4.47
202,Antalaha,95,MG,1595758276,78,-14.9,50.28,72.25,14.85
203,Saldanha,0,ZA,1595758375,63,-33.01,17.94,62.6,11.41
204,Grão Mogol,40,BR,1595758516,99,-16.56,-42.89,56.19,4.16
205,Zatoka,76,UA,1595758518,20,46.07,30.47,89.01,8.95
206,Rosarito,1,MX,1595758454,82,32.33,-117.03,66.0,6.67
207,Manta,100,EC,1595758521,85,-0.95,-80.73,69.62,4.27
208,Bariloche,75,AR,1595758523,86,-41.15,-71.31,37.4,16.11
209,Bethel,1,US,1595758524,94,41.37,-73.41,72.0,3.74
210,Mont-Dore,18,NC,1595758525,77,-22.28,166.58,68.0,3.36
211,Whitehorse,90,CA,1595758380,62,60.72,-135.05,55.4,16.11
212,Alyangula,22,AU,1595758387,60,-13.85,136.42,73.4,9.17
213,Zhigansk,97,RU,1595758354,71,66.77,123.37,56.62,17.07
214,Carinhanha,0,BR,1595758530,83,-14.3,-43.77,62.58,5.48
215,Jiayuguan City,0,CN,1595758446,11,39.82,98.3,92.1,13.18
216,Bembèrèkè,86,BJ,1595758533,78,10.23,2.66,78.69,7.54
217,Chui,0,UY,1595758534,86,-33.7,-53.46,39.43,5.1
218,Rassvet,34,RU,1595758535,22,46.83,40.75,91.63,18.63
219,Broken Hill,39,AU,1595758537,47,-31.95,141.43,55.4,8.05
220,Yulara,0,AU,1595758538,37,-25.24,130.99,64.4,4.7
221,Bontang,21,ID,1595758539,85,0.13,117.5,80.13,10.8
222,Lewisporte,40,CA,1595758540,93,49.25,-55.05,60.01,13.87
223,Saint-Joseph,50,RE,1595758541,68,-21.37,55.62,71.6,33.33
224,Paamiut,3,GL,1595758344,91,61.99,-49.67,43.65,5.1
225,Meulaboh,98,ID,1595758382,84,4.14,96.13,81.03,6.33
226,Cobija,100,BO,1595758545,90,-11.03,-68.77,63.12,2.91
227,Castro,99,BR,1595758546,90,-24.79,-50.01,53.33,9.19
228,Boşorod,88,RO,1595758548,76,45.68,23.08,68.7,1.97
229,Atasū,84,KZ,1595758549,30,48.68,71.64,79.03,5.84
230,Kano,54,NG,1595758550,60,12.0,8.52,83.17,12.64
231,Tasiilaq,68,GL,1595758344,70,65.61,-37.64,46.4,3.36
232,Okha,0,RU,1595758553,85,53.57,142.95,52.5,12.73
233,Vila Franca do Campo,75,PT,1595758554,78,37.72,-25.43,71.6,3.36
234,Tiarei,12,PF,1595758555,83,-17.53,-149.33,73.4,3.36
235,Lorengau,96,PG,1595758556,78,-2.02,147.27,82.94,10.67
236,Lodja,91,CD,1595758557,20,-3.48,23.43,94.48,4.27
237,Huarmey,72,PE,1595758559,85,-10.07,-78.15,58.8,5.84
238,Yaan,64,NG,1595758560,80,7.38,8.57,79.95,6.08
239,Aklavik,90,CA,1595758561,81,68.22,-135.01,53.6,4.7
240,Mabaruma,7,GY,1595758562,98,8.2,-59.78,73.87,2.06
241,Samarai,99,PG,1595758564,88,-10.62,150.67,78.71,13.04
242,Grindavik,75,IS,1595758565,87,63.84,-22.43,50.0,10.29
243,Koslan,16,RU,1595758566,29,63.46,48.9,79.38,5.55
244,Makakilo City,1,US,1595758567,69,21.35,-158.09,80.6,5.82
245,Airai,56,TL,1595758569,100,-8.93,125.41,58.15,3.47
246,Maningrida,43,AU,1595758570,49,-12.07,134.27,76.68,14.0
247,Belmonte,75,BR,1595758571,94,-15.86,-38.88,71.6,10.29
248,Saint Paul Harbor,90,US,1595758572,81,57.79,-152.41,53.6,6.93
249,Mangalia,75,RO,1595758574,54,43.8,28.58,80.6,9.17
250,Touros,20,BR,1595758575,94,-5.2,-35.46,71.6,6.93
251,Inzhavino,0,RU,1595758576,43,52.32,42.49,74.88,3.51
252,Takoradze,89,GH,1595758577,71,4.88,-1.76,79.61,8.75
253,Grand Gaube,90,MU,1595758578,86,-20.01,57.66,66.99,11.99
254,Constitución,100,CL,1595758580,76,-35.33,-72.42,49.95,4.38
255,Omboué,100,GA,1595758581,74,-1.57,9.26,75.88,5.46
256,Saskylakh,100,RU,1595758353,95,71.92,114.08,35.85,19.51
257,Wagar,82,SD,1595758583,39,16.15,36.2,93.45,18.07
258,Boca do Acre,81,BR,1595758585,90,-8.75,-67.4,65.53,3.62
259,Puerto del Rosario,75,ES,1595758586,73,28.5,-13.86,75.2,19.46
260,Novobiryusinskiy,83,RU,1595758587,65,56.96,97.71,73.04,3.74
261,Manavālakurichi,75,IN,1595758588,79,8.13,77.3,84.2,6.93
262,Berlevåg,12,NO,1595758590,38,70.86,29.09,73.4,14.99
263,Usinsk,3,RU,1595758591,37,65.99,57.53,75.49,9.46
264,East Wenatchee Bench,1,US,1595758592,48,47.43,-120.28,66.2,5.82
265,Sabang,40,ID,1595758388,79,5.89,95.32,82.69,20.18
266,Ahipara,6,NZ,1595758595,79,-35.17,173.17,49.05,4.16
267,Talcahuano,100,CL,1595758596,93,-36.72,-73.12,51.8,5.82
268,Shache,21,CN,1595758368,9,38.42,77.24,101.14,12.66
269,Xining,15,CN,1595758599,26,36.62,101.77,80.02,4.07
270,Moroni,20,KM,1595758600,58,-11.7,43.26,82.4,20.8
271,Zhangjiakou Shi Xuanhua Qu,31,CN,1595758602,67,40.61,115.04,71.37,11.48
272,Beringovskiy,24,RU,1595758354,76,63.05,179.32,59.09,5.5
273,Fortuna,1,US,1595758604,93,40.6,-124.16,53.01,2.26
274,Ābādān,0,IR,1595758574,31,30.34,48.3,113.0,4.7
275,Severo-Kuril'sk,97,RU,1595758358,86,50.68,156.12,50.52,14.18
276,Alofi,42,NU,1595758387,94,-19.06,-169.92,69.8,11.41
277,Kindersley,20,CA,1595758376,87,51.47,-109.17,53.6,13.87
278,Jumla,88,NP,1595758610,95,29.27,82.18,75.0,4.47
